START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
1/1/2016,1/1/2016,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
1/2/2016,1/2/2016,Business,Fort Pierce,Fort Pierce,5,
1/2/2016,1/2/2016,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
1/5/2016,1/5/2016,Business,Fort Pierce,Fort Pierce,4.7,Meeting
1/6/2016,1/6/2016,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
1/6/2016,1/6/2016,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
1/6/2016,1/6/2016,Business,West Palm Beach,Palm Beach,7.1,Meeting
1/7/2016,1/7/2016,Business,Cary,Cary,0.8,Meeting
1/10/2016,1/10/2016,Business,Cary,Morrisville,8.3,Meeting
1/10/2016,1/10/2016,Business,Jamaica,New York,16.5,Customer Visit
1/10/2016,1/10/2016,Business,New York,Queens,10.8,Meeting
1/10/2016,1/10/2016,Business,Elmhurst,New York,7.5,Meeting
1/10/2016,1/10/2016,Business,Midtown,East Harlem,6.2,Meeting
1/11/2016,1/11/2016,Business,East Harlem,NoMad,6.4,Temporary Site
1/11/2016,1/11/2016,Business,Flatiron District,Midtown,1.6,Errand/Supplies
1/11/2016,1/11/2016,Business,Midtown,Midtown East,1.7,Meal/Entertain
1/11/2016,1/11/2016,Business,Midtown East,Midtown,1.9,Meal/Entertain
1/12/2016,1/12/2016,Business,Midtown,Hudson Square,1.9,Meal/Entertain
1/12/2016,1/12/2016,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
1/12/2016,1/12/2016,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
1/12/2016,1/12/2016,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
1/12/2016,1/12/2016,Business,Hell's Kitchen,Midtown,2,Errand/Supplies
1/12/2016,1/12/2016,Business,New York,Queens County,15.1,Meeting
1/13/2016,1/13/2016,Business,Downtown,Gulfton,11.2,Meeting
1/13/2016,1/13/2016,Business,Gulfton,Downtown,11.8,Meeting
1/14/2016,1/14/2016,Business,Houston,Houston,21.9,Customer Visit
1/14/2016,1/14/2016,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
1/15/2016,1/15/2016,Business,Morrisville,Cary,8,Errand/Supplies
1/15/2016,1/15/2016,Business,Cary,Durham,10.4,Meal/Entertain
1/15/2016,1/15/2016,Business,Durham,Cary,10.4,Meal/Entertain
1/18/2016,1/18/2016,Business,Cary,Cary,4.8,Meal/Entertain
1/18/2016,1/18/2016,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
1/19/2016,1/19/2016,Business,Whitebridge,Lake Wellingborough,7.2,
1/19/2016,1/19/2016,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site
1/20/2016,1/20/2016,Business,Cary,Raleigh,17.1,Meeting
1/20/2016,1/20/2016,Business,Fayetteville Street,Umstead,15.1,Meeting
1/20/2016,1/20/2016,Business,Raleigh,Cary,40.2,Customer Visit
1/21/2016,1/21/2016,Business,Cary,Cary,1.6,Errand/Supplies
1/21/2016,1/21/2016,Business,Cary,Cary,2.4,Meal/Entertain
1/21/2016,1/21/2016,Business,Cary,Cary,1,Meal/Entertain
1/26/2016,1/26/2016,Business,Whitebridge,Hazelwood,2,Meal/Entertain
1/26/2016,1/26/2016,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies
1/26/2016,1/26/2016,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies
1/26/2016,1/26/2016,Business,Cary,Cary,1.4,Errand/Supplies
1/26/2016,1/26/2016,Business,Cary,Cary,0.5,Errand/Supplies
1/27/2016,1/27/2016,Business,Cary,Cary,1.8,Meeting
1/27/2016,1/27/2016,Business,Cary,Raleigh,18.7,Customer Visit
1/27/2016,1/27/2016,Business,Fairmont,Meredith Townes,3.4,Customer Visit
1/27/2016,1/27/2016,Business,Raleigh,Raleigh,2.7,Customer Visit
1/27/2016,1/27/2016,Business,Raleigh,Cary,12.9,Customer Visit
1/28/2016,1/28/2016,Business,Cary,Raleigh,19,Temporary Site
1/28/2016,1/28/2016,Business,Meredith Townes,Leesville Hollow,14.7,Meeting
1/28/2016,1/28/2016,Business,Raleigh,Cary,15.7,Meeting
1/29/2016,1/29/2016,Business,Cary,Cary,4.6,Customer Visit
1/29/2016,1/29/2016,Business,Cary,Cary,5.2,Meeting
1/29/2016,1/29/2016,Business,Cary,Durham,10.4,Meeting
1/29/2016,1/29/2016,Business,Durham,Cary,10.1,Meeting
1/29/2016,1/29/2016,Business,Cary,Apex,5.8,Errand/Supplies
1/29/2016,1/29/2016,Business,Apex,Cary,5.5,Meal/Entertain
1/30/2016,1/30/2016,Business,Cary,Apex,5.7,Errand/Supplies
1/30/2016,1/30/2016,Business,Apex,Cary,5.7,Customer Visit
2/1/2016,2/1/2016,Business,Cary,Chapel Hill,19.4,Customer Visit
2/1/2016,2/1/2016,Business,Chapel Hill,Cary,23.3,Customer Visit
2/1/2016,2/1/2016,Business,Northwoods,Whitebridge,3.9,Meal/Entertain
2/2/2016,2/2/2016,Business,Whitebridge,Williamsburg Manor,8.3,Meeting
2/2/2016,2/2/2016,Business,Cary,Cary,6,Errand/Supplies
2/2/2016,2/2/2016,Business,Cary,Cary,1.6,Errand/Supplies
2/4/2016,2/4/2016,Business,Cary,Morrisville,5.2,Errand/Supplies
2/4/2016,2/4/2016,Business,Morrisville,Cary,9.7,Meal/Entertain
2/4/2016,2/4/2016,Business,Cary,Cary,1.6,Meal/Entertain
2/4/2016,2/4/2016,Business,Cary,Cary,1.1,Meal/Entertain
2/4/2016,2/4/2016,Business,Cary,Cary,1.6,Meal/Entertain
2/4/2016,2/4/2016,Business,Whitebridge,Macgregor Downs,9,Meeting
2/4/2016,2/4/2016,Business,Cary,Cary,7.7,Meeting
